cte,steering,p_err,i_err,d_err
-2.055,0.2055,-2.055,102.045,-0.6685
-2.3827,0.23827,-2.3827,99.6628,-1.7142
-2.6114,0.26114,-2.6114,97.0514,-0.8972
-2.8844,0.28844,-2.8844,94.167,-1.9872
-3.0379,0.30379,-3.0379,91.1291,-1.0507
-3.1061,0.31061,-3.1061,88.023,-2.0554
-3.1164,0.31164,-3.1164,84.9066,-1.061
-3.0393,0.30393,-3.0393,81.8673,-1.9783
-2.8699,0.28699,-2.8699,78.9974,-0.8916
-2.5915,0.25915,-2.5915,76.4059,-1.6999
-2.1852,0.21852,-2.1852,74.2207,-0.4853
-1.6984,0.16984,-1.6984,72.5223,-1.2131
-1.1388,0.11388,-1.1388,71.3835,0.0743
-0.5166,0.05166,-0.5166,70.8669,-0.5909
0.1565,-0.01565,0.1565,71.0234,0.7474
0.7223,-0.07223,0.7223,71.7457,-0.0251
1.4487,-0.14487,1.4487,73.1944,1.4738
2.1829,-0.21829,2.1829,75.3773,0.7091
2.7221,-0.27221,2.7221,78.0994,2.013
3.7556,-0.37556,3.7556,81.855,1.7426
4.1861,-0.41861,4.1861,86.0411,2.4435
4.7568,-0.47568,4.7568,90.7979,2.3133
5.6035,-0.56035,5.6035,96.4014,3.2902
6.1062,-0.61062,6.1062,102.508,2.816
6.6743,-0.66743,6.6743,109.182,3.8583
7.1121,-0.71121,7.1121,116.294,3.2538
7.565,-0.7565,7.565,123.859,4.3112
7.8361,-0.78361,7.8361,131.695,3.5249
8.0335,-0.80335,8.0335,139.729,4.5086
8.155,-0.8155,8.155,147.884,3.6464
8.0504,-0.80504,8.0504,155.934,4.404
7.8211,-0.78211,7.8211,163.755,3.4171
7.4969,-0.74969,7.4969,171.252,4.0798
7.1231,-0.71231,7.1231,178.375,3.0433
6.6374,-0.66374,6.6374,185.013,3.5941
6.142,-0.6142,6.142,191.155,2.5479
5.7417,-0.57417,5.7417,196.896,3.1938
5.2891,-0.52891,5.2891,202.185,2.0953
4.8286,-0.48286,4.8286,207.014,2.7333
4.16,-0.416,4.16,211.174,1.4267
3.5514,-0.35514,3.5514,214.725,2.1247
2.5815,-0.25815,2.5815,217.307,0.4568
1.893,-0.1893,1.893,219.2,1.4362
0.9613,-0.09613,0.9613,220.161,-0.4749
0.1808,-0.01808,0.1808,220.342,0.6557
-0.9598,0.09598,-0.9598,219.382,-1.6155
-1.9005,0.19005,-1.9005,217.482,-0.285
-2.8135,0.28135,-2.8135,214.668,-2.5285
-3.5771,0.35771,-3.5771,211.091,-1.0486
-4.4504,0.44504,-4.4504,206.641,-3.4018
-4.9464,0.49464,-4.9464,201.694,-1.5446
-5.7263,0.57263,-5.7263,195.968,-4.1817
-6.3229,0.63229,-6.3229,189.645,-2.1412
-7.0501,0.70501,-7.0501,182.595,-4.9089
-7.6096,0.76096,-7.6096,174.985,-2.7007
-8.1601,0.81601,-8.1601,166.825,-5.4594
-8.6925,0.86925,-8.6925,158.133,-3.2331
-9.8177,0.98177,-9.8177,148.315,-6.5846
-10.0449,1.00449,-10.0449,138.27,-3.4603
-10.4386,1.04386,-10.4386,127.831,-6.9783
-10.7884,1.07884,-10.7884,117.043,-3.8101
-10.9186,1.09186,-10.9186,106.124,-7.1085
-11.1939,1.11939,-11.1939,94.9306,-4.0854
-11.3693,1.13693,-11.3693,83.5613,-7.2839
-11.4591,1.14591,-11.4591,72.1022,-4.1752
-11.4388,1.14388,-11.4388,60.6634,-7.2636
-11.3338,1.13338,-11.3338,49.3296,-4.0702
-11.141,1.1141,-11.141,38.1886,-7.0708
-10.7861,1.07861,-10.7861,27.4025,-3.7153
-10.4111,1.04111,-10.4111,16.9914,-6.6958
-9.9982,0.99982,-9.9982,6.9932,-3.3024
-9.4373,0.94373,-9.4373,-2.4441,-6.1349
-8.8345,0.88345,-8.8345,-11.2786,-2.6996
-8.1453,0.81453,-8.1453,-19.4239,-5.4457
-8.2908,0.82908,-8.2908,-27.7147,-2.8451
-8.3049,0.83049,-8.3049,-36.0196,-5.4598
-8.2917,0.82917,-8.2917,-44.3113,-2.8319
-8.274,0.8274,-8.274,-52.5853,-5.4421
-8.2453,0.82453,-8.2453,-60.8306,-2.8032
-8.2317,0.82317,-8.2317,-69.0623,-5.4285
-8.2273,0.82273,-8.2273,-77.2896,-2.7988
-8.2277,0.82277,-8.2277,-85.5173,-5.4289
-8.2283,0.82283,-8.2283,-93.7456,-2.7994
-8.2287,0.82287,-8.2287,-101.974,-5.4293
-8.2287,0.82287,-8.2287,-110.203,-2.7994
-8.2285,0.82285,-8.2285,-118.431,-5.4291
